Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Segunda-feira;Sessão 3;Tarde;14:00;Ciências da Terra;CT01;1;24ª - EAF;202626293;Live de Divulgação da Licenciatura em Educação do Campo Uma Forma de Alcançar os Candidatos a Futuros Professores;ANDRESSA KERECZ TAVARES;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:16;Ciências da Terra;CT01;2;24ª - EAF;202626292;A Contribuição dos Eventos na Formação do Pet Educampo, Águas e Florestas da Ufpr;ANDRESSA KERECZ TAVARES;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:32;Ciências da Terra;CT01;3;24ª - EAF;202626291;Clube de Leitura e Escrita Acadêmica: Desenvolvimento de Competências em Gêneros Textuais;ANDRESSA KERECZ TAVARES;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:48;Ciências da Terra;CT01;4;24ª - EAF;202625549;Jogos Indígenas na Ufpr: Esporte, Cultura e Identidade;ANA ELISA DE CASTRO FREITAS;Cultura;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:04;Ciências da Terra;CT01;5;24ª - EAF;202625162;Organização Interna do Grupo Pet Comunidades do Campo;VALDIR FRIGO DENARDIN;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências da Terra;CT02;1;24ª - EAF;202625154;Pet Debuta: Um Evento Formativo em Diálogo com a Agricultura Familiar;VALDIR FRIGO DENARDIN;Cultura;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências da Terra;CT02;2;24ª - EAF;202625150;Aproximação com a Prática da Meliponicultura: o Caso Abelha Brasil em Mandirituba (pr);VALDIR FRIGO DENARDIN;Meio Ambiente;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências da Terra;CT02;3;24ª - EAF;202625139;Cinepet Conexões: o Uso de Audiovisuais para Divulgação de Conhecimentos e Reflexão;VALDIR FRIGO DENARDIN;Cultura;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:00;Ciências da Terra;CT02;4;24ª - EAF;202624450;Participação do Pet Ls em Eventos Externos: da Escolha Coletiva À Produção e Divulgação Científica;MAYRA TAIZA SULZBACH;Comunicação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:00;Ciências da Terra;CT03;1;24ª - EAF;202623442;Ponte de Saberes: Metodologia Informacional para Ampliação do Acesso Ao Ensino Superior no Litoral Paranaense;MAYRA TAIZA SULZBACH;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências da Terra;CT03;2;24ª - EAF;202623425;Roda de Conversa Sobre Projetos Pedagógicos de Cursos do Setor Litoral da Universidade Federal do Paraná - 2026;MAYRA TAIZA SULZBACH;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências da Terra;CT03;3;24ª - EAF;202623146;Aprendizados na Organização de Eventos: para Além do Seminário de Desenvolvimento Sustentável;MAYRA TAIZA SULZBACH;Comunicação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;15:00;Ciências da Terra;CT03;4;24ª - EAF;202623125;Integração Universidade Escola: a Feira Regional de Ciências do Litoral do Paraná Como Espaço de Reflexões Ambientais;MAYRA TAIZA SULZBACH;Meio Ambiente;Oficina
Segunda-feira;Sessão 3;Tarde;14:00;Ciências da Terra;CT05;1;24ª - EAF;202623124;Participação do Pet Ls no Xiii Seminário do Estatuto da Criança e do Adolescente;MAYRA TAIZA SULZBACH;Direitos Humanos e Justiça;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:20;Ciências da Terra;CT05;2;24ª - EAF;202623121;Pet Saberes: Conhecimentos Interdisciplinares e Atividades Complementares;MAYRA TAIZA SULZBACH;Educação;Comunicação Oral
Segunda-feira;Sessão 3;Tarde;14:40;Ciências da Terra;CT05;3;24ª - EAF;202623112;Práticas de Cerâmica na Educação Superior: Conectando Saberes Contemporâneos e Ancestrais.;ANA ELISA DE CASTRO FREITAS;Educação;Oficina
Segunda-feira;Sessão 3;Tarde;15:00;Ciências da Terra;CT05;4;24ª - EAF;202623111;Vãfy: Etnomídia, Memória e Protagonismo no Pet Litoral Indígena;ANA ELISA DE CASTRO FREITAS;Comunicação;Oficina
Segunda-feira;Sessão 3;Tarde;14:00;Ciências da Terra;CT06;1;24ª - EAF;202623103;Fortalecimento da Educação em Direitos Indígenas: o Processo de Criação Coletiva de Um Livro Infantojuvenil Indígena;ANA ELISA DE CASTRO FREITAS;Educação;Comunicação Oral
